Date,Ticker,Close_Price
2022-01-03,AAPL,178.1037
2022-01-04,AAPL,175.8432
2022-01-05,AAPL,171.1658
2022-01-06,AAPL,168.3085
2022-01-07,AAPL,168.4749
2022-01-10,AAPL,168.4944
2022-01-11,AAPL,171.3224
2022-01-12,AAPL,171.7628
2022-01-13,AAPL,168.4944
2022-01-14,AAPL,169.3555
2022-01-18,AAPL,166.1557
2022-01-19,AAPL,162.6623
2022-01-20,AAPL,160.9792
2022-01-21,AAPL,158.9243
2022-01-24,AAPL,158.1513
2022-01-25,AAPL,156.3508
2022-01-26,AAPL,156.2627
2022-01-27,AAPL,155.8028
2022-01-28,AAPL,166.6743
2022-01-31,AAPL,171.0288
2022-02-01,AAPL,170.8625
2022-02-02,AAPL,172.0661
2022-02-03,AAPL,169.1891
2022-02-04,AAPL,168.9051
2022-02-07,AAPL,168.1898
2022-02-08,AAPL,171.2957
2022-02-09,AAPL,172.7164
2022-02-10,AAPL,168.6405
2022-02-11,AAPL,165.2309
2022-02-14,AAPL,165.466
2022-02-15,AAPL,169.297
2022-02-16,AAPL,169.0618
2022-02-17,AAPL,165.466
2022-02-18,AAPL,163.918
2022-02-22,AAPL,160.9982
2022-02-23,AAPL,156.8341
2022-02-24,AAPL,159.4501
2022-02-25,AAPL,161.5175
2022-02-28,AAPL,161.782
2022-03-01,AAPL,159.9009
2022-03-02,AAPL,163.1929
2022-03-03,AAPL,162.8696
2022-03-04,AAPL,159.8714
2022-03-07,AAPL,156.0797
2022-03-08,AAPL,154.2572
2022-03-09,AAPL,159.6559
2022-03-10,AAPL,155.3155
2022-03-11,AAPL,151.602
2022-03-14,AAPL,147.5751
2022-03-15,AAPL,151.9548
2022-03-16,AAPL,156.3638
2022-03-17,AAPL,157.373
2022-03-18,AAPL,160.6651
2022-03-21,AAPL,162.0367
2022-03-22,AAPL,165.4072
2022-03-23,AAPL,166.7691
2022-03-24,AAPL,170.5511
2022-03-25,AAPL,171.188
2022-03-28,AAPL,172.0502
2022-03-29,AAPL,175.3423
2022-03-30,AAPL,174.1763
2022-03-31,AAPL,171.0802
2022-04-01,AAPL,170.7863
2022-04-04,AAPL,174.8328
